order_id,customer_id,product_id,order_ts,order_value,payment_method,discount_pct,category,size_variant,signup_date,city_tier,account_age_at_order,price,historical_return_rate,returned,previous_orders,previous_returns,historical_return_rate_customer,history_available,returns_last_5,orders_considered_last_5,return_rate_last_5,returns_last_10,orders_considered_last_10,return_rate_last_10,previous_avg_order_value,order_value_ratio,previous_avg_discount,discount_change,days_since_last_order,orders_last_30_days,orders_last_90_days,return_rate_shift_5,return_rate_shift_10,return_rate_ratio_5,return_rate_ratio_10,recent_avg_order_value_5,order_value_shift_5,recent_order_frequency,recent_return_rate_3,previous_return_rate_3,return_rate_shift_3,recent_return_rate_5,previous_return_rate_5,return_rate_shift_window5,recent_avg_value_3,previous_avg_value_3,order_value_shift_3,category_switch
O00006,C0001,P0136,2025-02-03 18:43:00,4833.07,UPI,20,Beauty,,2025-01-31,2,3,6041.34,0.0798,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4833.07,1.0,20.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,4833.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O00010,C0001,P0088,2025-04-17 20:57:00,2384.58,UPI,20,Grocery,,2025-01-31,2,76,2980.72,0.048,0,1,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,4833.07,0.493388260463846,20.0,0.0,73.09305555555555,0,1,0.0,0.0,1.0,1.0,4833.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
O00003,C0001,P0200,2025-06-15 22:02:00,3349.98,UPI,10,Beauty,,2025-01-31,2,135,3722.2,0.0457,0,2,0.0,0.0,1,0.0,2.0,0.0,0.0,2.0,0.0,3608.825,0.9282744383559747,20.0,-10.0,59.045138888888886,0,1,0.0,0.0,1.0,1.0,3608.825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
O00005,C0001,P0405,2025-06-18 11:34:00,4065.42,UPI,20,Apparel,XL,2025-01-31,2,138,5081.77,0.1304,0,3,0.0,0.0,1,0.0,3.0,0.0,0.0,3.0,0.0,3522.543333333333,1.154114971852724,16.666666666666668,3.333333333333332,2.563888888888889,1,2,0.0,0.0,1.0,1.0,3522.543333333333,1.0,1.5333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,3522.543333333333,0.0,1.0,1
O00002,C0001,P0104,2025-08-04 23:17:00,9403.82,UPI,15,Footwear,9,2025-01-31,2,185,11063.32,0.1567,0,4,0.0,0.0,1,0.0,4.0,0.0,0.0,4.0,0.0,3658.2625,2.5705700452058866,17.5,-2.5,47.488194444444446,0,2,0.0,0.0,1.0,1.0,3658.2625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.66,0.0,1.0,1
O00008,C0001,P0324,2025-08-23 20:08:00,9108.12,UPI,10,Home,,2025-01-31,2,204,10120.13,0.0588,0,5,0.0,0.0,1,0.0,5.0,0.0,0.0,5.0,0.0,4807.374,1.8946143986301047,17.0,-7.0,18.86875,1,3,0.0,0.0,1.0,1.0,4807.374,1.0,1.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5606.406666666667,0.0,1.0,1
O00004,C0001,P0465,2025-09-15 08:13:00,1555.53,Card,40,Grocery,,2025-01-31,2,227,2592.55,0.0216,0,6,0.0,0.0,1,0.0,5.0,0.0,0.0,6.0,0.0,5524.165,0.2815864479066067,15.833333333333334,24.166666666666664,22.50347222222222,1,3,0.0,0.0,1.0,1.0,5662.384,1.025020794997977,1.261111111111111,0.0,0.0,0.0,0.0,0.0,0.0,7525.786666666667,3522.543333333333,2.1364638996634064,1
O00001,C0001,P0169,2025-11-11 09:19:00,11063.74,Card,10,Footwear,8,2025-01-31,2,284,12293.05,0.1228,0,7,0.0,0.0,1,0.0,5.0,0.0,0.0,7.0,0.0,4957.217142857143,2.231844940652186,19.285714285714285,-9.285714285714285,57.045833333333334,0,2,0.0,0.0,1.0,1.0,5496.574,1.108802346477805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6689.156666666666,3266.66,2.047705199398366,1
O00009,C0001,P0304,2026-03-16 13:41:00,2762.99,UPI,0,Apparel,L,2025-01-31,2,409,2762.99,0.1072,0,8,0.0,0.0,1,0.0,5.0,0.0,0.0,8.0,0.0,5720.5325,0.4829952456349124,18.125,-18.125,125.18194444444444,0,0,0.0,0.0,1.0,1.0,7039.325999999999,1.2305368425054832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7242.463333333333,5606.406666666667,1.2918191212196521,1
O00007,C0001,P0428,2026-08-13 23:26:00,72827.86,Card,5,Electronics,,2025-01-31,2,559,76660.91,0.0358,1,9,0.0,0.0,1,0.0,5.0,0.0,0.0,9.0,0.0,5391.916666666667,13.506859341916138,16.11111111111111,-11.11111111111111,150.40625,0,0,0.0,0.0,1.0,1.0,6778.839999999999,1.2572226944654805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5127.42,7525.786666666667,0.6813134928087252,1
O00014,C0002,P0084,2026-01-14 21:15:00,13696.38,UPI,15,Home,,2025-12-30,1,15,16113.39,0.0734,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13696.38,1.0,15.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,13696.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O00017,C0002,P0225,2026-02-12 21:14:00,872.83,UPI,15,Beauty,,2025-12-30,1,44,1026.86,0.045,0,1,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,13696.38,0.0637270578065153,15.0,0.0,28.999305555555555,1,1,0.0,0.0,1.0,1.0,13696.38,1.0,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
O00015,C0002,P0446,2026-02-16 10:53:00,848.84,Wallet,10,Home,,2025-12-30,1,48,943.16,0.0625,0,2,0.0,0.0,1,0.0,2.0,0.0,0.0,2.0,0.0,7284.605,0.11652519251215407,15.0,-5.0,3.56875,1,2,0.0,0.0,1.0,1.0,7284.605,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
O00021,C0002,P0354,2026-02-24 14:04:00,5401.15,Card,15,Apparel,XL,2025-12-30,1,56,6354.29,0.1138,0,3,0.0,0.0,1,0.0,3.0,0.0,0.0,3.0,0.0,5139.349999999999,1.0509402940060515,13.333333333333334,1.666666666666666,8.13263888888889,2,3,0.0,0.0,1.0,1.0,5139.349999999999,1.0,1.2444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,5139.349999999999,0.0,1.0,1
