order_id,customer_id,product_id,order_ts,order_value,payment_method,discount_pct,category,size_variant,signup_date,city_tier,account_age_at_order,price,historical_return_rate,returned,previous_orders,previous_returns,historical_return_rate_customer,history_available,returns_last_5,orders_considered_last_5,return_rate_last_5,returns_last_10,orders_considered_last_10,return_rate_last_10,previous_avg_order_value,order_value_ratio,previous_avg_discount,discount_change,days_since_last_order,orders_last_30_days,orders_last_90_days,return_rate_shift_5,return_rate_shift_10,return_rate_ratio_5,return_rate_ratio_10,recent_avg_order_value_5,order_value_shift_5,recent_order_frequency,recent_return_rate_3,previous_return_rate_3,return_rate_shift_3,recent_return_rate_5,previous_return_rate_5,return_rate_shift_window5,recent_avg_value_3,previous_avg_value_3,order_value_shift_3,category_switch
O13651,C1378,P0308,2025-01-01 09:39:00,3485.43,Card,30,Beauty,,2022-09-25,1,829,4979.18,0.0793,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3485.43,1.0,30.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,3485.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O00241,C0024,P0319,2025-01-01 10:05:00,9137.05,Card,5,Apparel,M,2024-08-13,2,141,9617.95,0.1273,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9137.05,1.0,5.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,9137.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O01143,C0113,P0374,2025-01-01 10:06:00,11202.43,Card,20,Footwear,7,2023-01-14,2,718,14003.04,0.1569,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11202.43,1.0,20.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,11202.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O03044,C0307,P0178,2025-01-01 11:43:00,5828.99,Card,15,Home,,2024-08-12,3,142,6857.63,0.0588,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5828.99,1.0,15.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,5828.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O14841,C1496,P0119,2025-01-01 13:11:00,1681.81,UPI,15,Grocery,,2024-07-24,1,161,1978.6,0.0451,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1681.81,1.0,15.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,1681.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O02615,C0264,P0368,2025-01-01 14:15:00,2603.19,UPI,40,Beauty,,2024-11-26,1,36,4338.65,0.0661,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2603.19,1.0,40.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,2603.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O02931,C0294,P0215,2025-01-01 14:56:00,33132.63,UPI,5,Electronics,,2022-06-10,1,936,34876.45,0.0239,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33132.63,1.0,5.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,33132.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O16847,C1702,P0358,2025-01-01 18:16:00,4585.25,UPI,20,Apparel,M,2023-02-18,1,683,5731.56,0.1461,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4585.25,1.0,20.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,4585.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O01636,C0165,P0214,2025-01-01 18:54:00,5194.01,NetBanking,30,Apparel,XL,2023-10-08,1,451,7420.01,0.1022,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5194.01,1.0,30.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,5194.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
O13569,C1372,P0145,2025-01-01 19:31:00,5347.69,Card,40,Apparel,L,2022-01-27,1,1070,8912.81,0.0807,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5347.69,1.0,40.0,0.0,-1.0,0,0,0.0,0.0,1.0,1.0,5347.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
