customer_id,signup_date,city_tier,account_age_days,behavior_profile
C0001,2025-01-31,2,569,stable
C0002,2025-12-30,1,236,stable
C0003,2024-05-10,1,835,high_return
C0004,2025-07-18,1,401,stable
C0005,2025-02-04,3,565,stable
C0006,2024-12-31,2,600,stable
C0007,2024-11-10,1,651,stable
C0008,2022-05-02,2,1574,stable
C0009,2023-04-12,2,1229,stable
C0010,2025-05-23,1,457,stable
C0011,2022-11-27,2,1365,stable
C0012,2022-03-29,2,1608,stable
C0013,2025-10-28,3,299,stable
C0014,2025-01-28,1,572,stable
C0015,2024-05-21,1,824,drift
C0016,2022-05-11,1,1565,stable
C0017,2025-08-25,2,363,high_return
C0018,2024-02-09,1,926,high_return
C0019,2022-12-10,2,1352,stable
C0020,2025-12-08,3,258,stable
C0021,2024-03-16,2,890,stable
C0022,2023-01-21,2,1310,stable
C0023,2025-04-30,3,480,stable
C0024,2024-08-13,2,740,stable
C0025,2022-10-04,2,1419,stable
C0026,2025-03-30,1,511,drift
C0027,2023-04-05,3,1236,high_return
C0028,2025-08-30,1,358,stable
C0029,2022-01-22,1,1674,stable
C0030,2022-09-10,1,1443,stable
C0031,2024-01-18,2,948,stable
C0032,2024-05-06,1,839,stable
C0033,2023-04-20,1,1221,stable
C0034,2024-12-18,1,613,stable
C0035,2023-05-26,1,1185,high_return
C0036,2023-12-01,2,996,stable
C0037,2024-09-02,2,720,stable
C0038,2022-07-09,1,1506,stable
C0039,2024-08-15,2,738,stable
C0040,2023-11-18,2,1009,stable
C0041,2024-08-15,1,738,high_return
C0042,2023-07-17,1,1133,stable
C0043,2025-06-21,3,428,stable
C0044,2024-04-11,2,864,stable
C0045,2025-02-28,1,541,stable
C0046,2023-10-09,2,1049,stable
C0047,2022-01-21,1,1675,stable
C0048,2024-04-20,2,855,stable
C0049,2022-06-16,1,1529,stable
C0050,2025-07-21,1,398,stable
C0051,2023-01-23,1,1308,stable
C0052,2023-08-24,3,1095,high_return
C0053,2022-11-12,2,1380,stable
C0054,2022-01-14,1,1682,stable
C0055,2022-08-30,1,1454,stable
C0056,2024-02-16,2,919,stable
C0057,2025-10-01,1,326,stable
C0058,2023-07-19,1,1131,stable
C0059,2024-06-16,3,798,stable
C0060,2025-09-25,1,332,high_return
C0061,2022-04-02,2,1604,stable
C0062,2025-10-22,3,305,high_return
C0063,2024-08-13,1,740,stable
C0064,2025-12-22,1,244,high_return
C0065,2023-05-24,1,1187,stable
C0066,2024-02-15,3,920,stable
C0067,2022-02-04,3,1661,high_return
C0068,2022-07-25,3,1490,stable
C0069,2025-01-09,1,591,high_return
C0070,2025-11-12,3,284,stable
C0071,2024-10-22,3,670,stable
C0072,2024-10-18,2,674,stable
C0073,2025-11-14,3,282,drift
C0074,2023-07-20,3,1130,stable
C0075,2025-02-03,2,566,stable
C0076,2023-12-04,2,993,stable
C0077,2023-02-06,1,1294,stable
C0078,2023-12-31,1,966,stable
C0079,2022-06-11,2,1534,stable
C0080,2022-07-21,1,1494,stable
C0081,2024-09-22,3,700,stable
C0082,2022-09-27,3,1426,stable
C0083,2024-03-26,3,880,high_return
C0084,2025-07-18,1,401,stable
C0085,2023-04-01,1,1240,stable
C0086,2025-06-29,1,420,stable
C0087,2024-10-13,2,679,stable
C0088,2022-10-23,3,1400,stable
C0089,2023-12-21,3,976,stable
C0090,2022-12-04,2,1358,stable
C0091,2024-05-28,3,817,high_return
C0092,2024-12-12,3,619,stable
C0093,2024-03-02,1,904,drift
C0094,2022-08-05,3,1479,high_return
C0095,2024-02-03,1,932,stable
C0096,2022-07-07,1,1508,stable
C0097,2023-01-15,2,1316,stable
C0098,2023-05-08,1,1203,stable
C0099,2024-11-30,2,631,stable
C0100,2025-03-26,2,515,stable
C0101,2022-01-15,2,1681,stable
C0102,2022-03-06,1,1631,stable
C0103,2023-06-05,2,1175,stable
C0104,2025-09-29,2,328,stable
C0105,2025-02-26,2,543,high_return
C0106,2023-10-10,2,1048,stable
C0107,2024-12-22,1,609,stable
C0108,2025-03-08,2,533,stable
C0109,2023-08-16,1,1103,stable
C0110,2023-01-27,2,1304,stable
C0111,2023-02-23,3,1277,drift
C0112,2022-10-16,2,1407,stable
C0113,2023-01-14,2,1317,stable
C0114,2022-08-19,3,1465,stable
C0115,2024-10-14,3,678,high_return
C0116,2022-02-10,3,1655,stable
C0117,2024-11-17,3,644,stable
C0118,2022-05-15,1,1561,stable
C0119,2022-07-20,1,1495,stable
C0120,2024-02-19,2,916,stable
C0121,2024-07-18,1,766,stable
C0122,2024-11-22,2,639,high_return
C0123,2024-12-07,1,624,stable
C0124,2023-05-18,2,1193,stable
C0125,2023-02-11,2,1289,stable
C0126,2024-03-15,2,891,stable
C0127,2022-04-09,2,1597,stable
C0128,2023-11-15,3,1012,stable
C0129,2023-12-27,2,970,high_return
C0130,2024-08-18,3,735,stable
C0131,2023-09-05,1,1083,stable
C0132,2023-10-05,3,1053,stable
C0133,2024-10-25,2,667,stable
C0134,2025-05-26,1,454,stable
C0135,2023-05-18,1,1193,stable
C0136,2024-02-06,2,929,stable
C0137,2023-02-02,1,1298,high_return
C0138,2024-05-20,1,825,stable
C0139,2024-03-05,2,901,stable
C0140,2023-01-28,2,1303,stable
C0141,2022-07-26,2,1489,drift
C0142,2024-11-04,3,657,stable
C0143,2024-06-10,2,804,stable
C0144,2024-05-13,2,832,stable
C0145,2024-01-13,1,953,stable
C0146,2025-06-18,2,431,stable
C0147,2023-07-18,1,1132,stable
C0148,2024-10-17,3,675,stable
C0149,2022-04-06,3,1600,stable
C0150,2023-04-30,2,1211,stable
C0151,2025-12-01,1,265,stable
C0152,2022-08-19,3,1465,stable
C0153,2024-01-19,3,947,stable
C0154,2025-04-09,1,501,drift
C0155,2023-06-25,1,1155,stable
C0156,2024-11-25,3,636,high_return
C0157,2023-06-09,1,1171,stable
C0158,2025-03-29,3,512,stable
C0159,2025-06-20,2,429,drift
C0160,2025-01-14,1,586,stable
C0161,2023-08-01,3,1118,stable
C0162,2023-11-13,1,1014,stable
C0163,2023-07-11,2,1139,stable
C0164,2024-10-09,1,683,stable
C0165,2023-10-08,1,1050,stable
C0166,2024-03-06,2,900,stable
C0167,2024-11-17,2,644,stable
C0168,2025-09-25,2,332,stable
C0169,2025-09-16,3,341,stable
C0170,2025-10-03,2,324,stable
C0171,2025-06-08,1,441,stable
C0172,2022-07-09,1,1506,high_return
C0173,2025-06-02,3,447,stable
C0174,2025-11-09,3,287,drift
C0175,2025-11-01,2,295,stable
C0176,2025-07-30,1,389,stable
C0177,2023-09-25,1,1063,stable
C0178,2023-09-20,2,1068,stable
C0179,2024-08-30,3,723,stable
C0180,2025-07-06,2,413,stable
C0181,2025-10-14,3,313,stable
C0182,2023-12-11,3,986,drift
C0183,2025-12-05,1,261,stable
C0184,2023-10-11,2,1047,stable
C0185,2022-11-14,1,1378,stable
C0186,2025-06-02,1,447,stable
C0187,2025-06-11,3,438,stable
C0188,2023-11-15,2,1012,stable
C0189,2023-10-26,2,1032,high_return
C0190,2025-10-29,1,298,stable
C0191,2025-06-10,1,439,stable
C0192,2025-02-10,1,559,stable
C0193,2023-03-18,1,1254,stable
C0194,2023-07-18,2,1132,stable
C0195,2025-07-15,1,404,stable
C0196,2025-11-10,2,286,stable
C0197,2025-11-11,1,285,stable
C0198,2025-02-10,1,559,stable
C0199,2024-08-09,1,744,stable
C0200,2025-01-09,2,591,stable
C0201,2023-11-30,2,997,stable
C0202,2022-04-23,2,1583,stable
C0203,2022-01-02,2,1694,high_return
C0204,2023-10-04,2,1054,high_return
C0205,2022-08-08,1,1476,stable
C0206,2024-05-04,1,841,stable
C0207,2025-06-02,3,447,stable
C0208,2023-01-20,2,1311,stable
C0209,2025-11-27,1,269,high_return
C0210,2025-02-27,3,542,stable
C0211,2024-12-12,3,619,drift
C0212,2023-12-31,1,966,high_return
C0213,2025-12-10,2,256,stable
C0214,2022-09-04,2,1449,stable
C0215,2024-04-15,2,860,stable
C0216,2022-07-22,1,1493,high_return
C0217,2025-04-22,1,488,stable
C0218,2022-05-03,2,1573,high_return
C0219,2023-02-05,2,1295,stable
C0220,2024-02-06,3,929,stable
C0221,2022-10-21,2,1402,high_return
C0222,2022-10-07,1,1416,stable
C0223,2024-06-02,2,812,stable
C0224,2022-07-17,1,1498,stable
C0225,2024-09-08,2,714,stable
C0226,2024-01-22,2,944,stable
C0227,2022-05-24,1,1552,stable
C0228,2023-09-01,2,1087,high_return
C0229,2025-05-09,1,471,high_return
C0230,2025-02-21,1,548,stable
C0231,2022-07-06,1,1509,stable
C0232,2025-09-11,1,346,stable
C0233,2023-04-09,3,1232,stable
C0234,2025-10-04,2,323,drift
C0235,2023-10-22,1,1036,stable
C0236,2024-02-03,2,932,stable
C0237,2024-08-12,1,741,stable
C0238,2023-02-07,3,1293,stable
C0239,2025-10-01,2,326,stable
C0240,2022-05-27,3,1549,stable
C0241,2025-03-17,1,524,stable
C0242,2024-05-13,2,832,stable
C0243,2023-05-04,2,1207,stable
C0244,2024-07-17,3,767,stable
C0245,2023-07-05,1,1145,stable
C0246,2022-12-04,1,1358,stable
C0247,2024-05-21,3,824,stable
C0248,2023-10-03,2,1055,stable
C0249,2023-04-18,1,1223,stable
C0250,2022-05-31,1,1545,stable
C0251,2025-12-09,3,257,high_return
C0252,2025-08-14,1,374,high_return
C0253,2022-09-20,2,1433,stable
C0254,2022-05-24,3,1552,high_return
C0255,2022-12-12,1,1350,stable
C0256,2023-09-16,2,1072,stable
C0257,2024-10-13,1,679,stable
C0258,2024-05-30,1,815,stable
C0259,2022-01-02,3,1694,stable
C0260,2024-06-15,3,799,stable
C0261,2025-08-20,2,368,stable
C0262,2022-09-11,2,1442,stable
C0263,2023-03-29,1,1243,stable
C0264,2024-11-26,1,635,high_return
C0265,2025-03-29,1,512,stable
C0266,2024-10-11,1,681,stable
C0267,2022-01-09,1,1687,stable
C0268,2025-06-10,1,439,stable
C0269,2025-01-27,1,573,stable
C0270,2024-03-26,1,880,stable
C0271,2022-07-27,2,1488,stable
C0272,2025-02-28,3,541,stable
C0273,2023-02-08,1,1292,stable
C0274,2022-06-01,3,1544,stable
C0275,2022-02-23,3,1642,stable
C0276,2025-02-17,1,552,stable
C0277,2023-09-20,3,1068,stable
C0278,2023-08-10,2,1109,stable
C0279,2025-12-14,2,252,high_return
C0280,2025-12-16,1,250,high_return
C0281,2022-04-14,2,1592,drift
C0282,2022-09-11,1,1442,stable
C0283,2025-06-04,2,445,stable
C0284,2025-02-09,2,560,stable
C0285,2023-05-25,2,1186,stable
C0286,2022-04-09,2,1597,stable
C0287,2022-06-02,2,1543,stable
C0288,2024-07-02,1,782,high_return
C0289,2024-05-27,1,818,stable
C0290,2022-12-04,3,1358,high_return
C0291,2024-04-01,1,874,stable
C0292,2025-04-01,1,509,stable
