order_id,customer_id,product_id,order_ts,order_value,payment_method,discount_pct,category,size_variant
O00006,C0001,P0136,2025-02-03 18:43:00,4833.07,UPI,20,Beauty,
O00010,C0001,P0088,2025-04-17 20:57:00,2384.58,UPI,20,Grocery,
O00003,C0001,P0200,2025-06-15 22:02:00,3349.98,UPI,10,Beauty,
O00005,C0001,P0405,2025-06-18 11:34:00,4065.42,UPI,20,Apparel,XL
O00002,C0001,P0104,2025-08-04 23:17:00,9403.82,UPI,15,Footwear,9
O00008,C0001,P0324,2025-08-23 20:08:00,9108.12,UPI,10,Home,
O00004,C0001,P0465,2025-09-15 08:13:00,1555.53,Card,40,Grocery,
O00001,C0001,P0169,2025-11-11 09:19:00,11063.74,Card,10,Footwear,8
O00009,C0001,P0304,2026-03-16 13:41:00,2762.99,UPI,0,Apparel,L
O00007,C0001,P0428,2026-08-13 23:26:00,72827.86,Card,5,Electronics,
O00014,C0002,P0084,2026-01-14 21:15:00,13696.38,UPI,15,Home,
O00017,C0002,P0225,2026-02-12 21:14:00,872.83,UPI,15,Beauty,
O00015,C0002,P0446,2026-02-16 10:53:00,848.84,Wallet,10,Home,
O00021,C0002,P0354,2026-02-24 14:04:00,5401.15,Card,15,Apparel,XL
O00018,C0002,P0046,2026-03-03 13:45:00,7529.04,Card,15,Footwear,9
O00020,C0002,P0339,2026-03-05 13:19:00,4569.44,UPI,30,Footwear,7
O00016,C0002,P0015,2026-03-21 22:27:00,38823.33,NetBanking,0,Electronics,
O00023,C0002,P0131,2026-04-10 13:13:00,306.91,UPI,40,Beauty,
O00012,C0002,P0152,2026-06-05 21:12:00,3112.89,Wallet,30,Footwear,8
O00022,C0002,P0246,2026-06-23 20:51:00,12357.02,UPI,30,Home,
O00019,C0002,P0157,2026-08-09 21:24:00,85996.13,UPI,10,Electronics,
O00013,C0002,P0209,2026-08-10 18:07:00,3192.82,Card,0,Grocery,
O00011,C0002,P0201,2026-08-11 21:47:00,2255.45,Card,0,Footwear,7
O00027,C0003,P0167,2025-01-23 14:58:00,250.73,UPI,40,Beauty,
O00028,C0003,P0412,2025-02-21 08:37:00,1861.69,UPI,30,Apparel,L
O00026,C0003,P0357,2025-03-17 21:19:00,8614.73,UPI,5,Apparel,S
O00025,C0003,P0071,2025-03-24 16:55:00,40772.51,Card,10,Electronics,
O00032,C0003,P0025,2025-09-25 12:24:00,4731.47,UPI,15,Apparel,M
O00029,C0003,P0393,2025-10-27 21:03:00,4749.31,UPI,10,Beauty,
O00024,C0003,P0487,2025-11-17 18:56:00,60121.26,NetBanking,5,Electronics,
O00031,C0003,P0140,2026-02-06 21:43:00,736.15,NetBanking,5,Beauty,
O00033,C0003,P0190,2026-05-26 16:34:00,9536.1,UPI,30,Footwear,7
O00030,C0003,P0128,2026-06-06 11:19:00,3982.05,Card,20,Apparel,L
O00037,C0004,P0152,2025-11-05 14:14:00,4446.99,Card,0,Footwear,9
O00035,C0004,P0434,2025-12-08 08:01:00,5775.81,NetBanking,5,Apparel,M
O00036,C0004,P0345,2026-02-09 17:46:00,78001.77,Card,20,Electronics,
O00038,C0004,P0074,2026-07-07 14:48:00,7119.17,UPI,0,Apparel,M
O00039,C0004,P0447,2026-07-25 17:28:00,4587.27,Card,5,Beauty,
O00034,C0004,P0325,2026-08-10 16:34:00,7896.7,UPI,15,Apparel,M
O00047,C0005,P0463,2025-05-15 15:11:00,2410.11,UPI,30,Home,
O00040,C0005,P0337,2025-05-17 14:31:00,24682.89,Card,15,Electronics,
O00044,C0005,P0294,2025-05-18 19:52:00,4033.14,Wallet,50,Apparel,M
O00046,C0005,P0253,2025-11-25 19:29:00,9511.44,UPI,5,Footwear,9
