product_id,category,price,historical_return_rate
P0001,Beauty,2540.7,0.0748
P0002,Electronics,90540.83,0.02
P0003,Home,18027.02,0.0788
P0004,Home,18753.04,0.0533
P0005,Beauty,1976.48,0.05
P0006,Apparel,8401.38,0.1124
P0007,Footwear,7712.96,0.1561
P0008,Grocery,3221.72,0.047
P0009,Home,13967.01,0.056
P0010,Apparel,9334.39,0.1121
P0011,Electronics,18981.51,0.026
P0012,Apparel,982.62,0.1128
P0013,Footwear,12914.42,0.156
P0014,Home,28011.77,0.055
P0015,Electronics,38823.33,0.0206
P0016,Footwear,12943.35,0.1215
P0017,Footwear,9761.86,0.1429
P0018,Footwear,6903.79,0.1184
P0019,Home,28885.28,0.0886
P0020,Beauty,2528.66,0.0592
P0021,Apparel,9742.02,0.0803
P0022,Beauty,3477.62,0.044
P0023,Electronics,51406.64,0.0205
P0024,Electronics,41282.94,0.0244
P0025,Apparel,5566.43,0.1497
P0026,Electronics,80253.07,0.0369
P0027,Apparel,6535.02,0.0829
P0028,Electronics,21472.97,0.0385
P0029,Beauty,3119.07,0.0441
P0030,Electronics,70538.13,0.026
P0031,Home,8431.28,0.0899
P0032,Electronics,85955.75,0.0282
P0033,Grocery,4903.28,0.0395
P0034,Home,22389.66,0.0513
P0035,Electronics,13038.92,0.0327
P0036,Beauty,7222.48,0.0649
P0037,Footwear,2703.15,0.1069
P0038,Beauty,6800.23,0.0456
P0039,Footwear,8187.29,0.1022
P0040,Home,2879.76,0.0769
P0041,Beauty,5606.7,0.0537
P0042,Apparel,2548.29,0.137
P0043,Electronics,22493.22,0.0308
P0044,Beauty,7755.21,0.0459
P0045,Apparel,9438.32,0.0928
P0046,Footwear,8857.69,0.1226
P0047,Electronics,96527.93,0.0255
P0048,Footwear,6475.14,0.159
P0049,Grocery,2728.7,0.0351
P0050,Apparel,2948.9,0.1291
P0051,Apparel,636.54,0.0835
P0052,Home,18181.08,0.0637
P0053,Beauty,7640.54,0.0761
P0054,Apparel,7280.21,0.1373
P0055,Apparel,6839.65,0.0888
P0056,Grocery,3851.16,0.0263
P0057,Home,10041.56,0.0828
P0058,Electronics,54116.04,0.0372
P0059,Electronics,22090.5,0.0322
P0060,Footwear,1989.83,0.1386
P0061,Apparel,7744.07,0.1209
P0062,Apparel,3029.2,0.0822
P0063,Beauty,1219.76,0.0649
P0064,Electronics,93507.6,0.0241
P0065,Home,22183.27,0.0847
P0066,Apparel,5448.38,0.1268
P0067,Beauty,6575.62,0.0504
P0068,Home,9258.42,0.05
P0069,Electronics,96346.32,0.0384
P0070,Footwear,11656.87,0.1047
P0071,Electronics,45302.79,0.022
P0072,Beauty,422.59,0.0646
P0073,Beauty,7698.39,0.0761
P0074,Apparel,7119.17,0.0868
P0075,Apparel,3104.56,0.1024
P0076,Apparel,7749.93,0.1362
P0077,Home,11860.63,0.0667
P0078,Apparel,922.84,0.1002
P0079,Apparel,4787.21,0.0882
P0080,Apparel,4806.04,0.1397
P0081,Electronics,58550.78,0.0216
P0082,Home,6154.3,0.069
P0083,Electronics,36787.23,0.0272
P0084,Home,16113.39,0.0734
P0085,Electronics,79889.3,0.0268
P0086,Apparel,8151.93,0.1037
P0087,Home,2135.27,0.0722
P0088,Grocery,2980.72,0.048
P0089,Beauty,5890.67,0.0767
P0090,Apparel,9129.3,0.1223
P0091,Electronics,53248.44,0.0311
P0092,Beauty,7833.15,0.0709
P0093,Apparel,1509.53,0.1345
P0094,Electronics,17883.27,0.0289
P0095,Beauty,1920.54,0.0676
P0096,Beauty,7055.28,0.0516
P0097,Grocery,501.85,0.029
P0098,Grocery,3394.57,0.0299
P0099,Beauty,2441.46,0.0474
P0100,Electronics,50254.13,0.0255
P0101,Electronics,73370.02,0.0215
P0102,Footwear,10229.27,0.1143
P0103,Footwear,7747.77,0.1172
P0104,Footwear,11063.32,0.1567
P0105,Apparel,9212.23,0.1208
P0106,Apparel,4894.8,0.1373
P0107,Footwear,10503.23,0.111
