order_id,returned,return_reason,days_to_return
O00006,0,,0
O00010,0,,0
O00003,0,,0
O00005,0,,0
O00002,0,,0
O00008,0,,0
O00004,0,,0
O00001,0,,0
O00009,0,,0
O00007,1,Product mismatch,4
O00014,0,,0
O00017,0,,0
O00015,0,,0
O00021,0,,0
O00018,0,,0
O00020,0,,0
O00016,0,,0
O00023,0,,0
O00012,0,,0
O00022,0,,0
O00019,0,,0
O00013,0,,0
O00011,0,,0
O00027,0,,0
O00028,1,Changed mind,5
O00026,0,,0
O00025,1,Damaged product,7
O00032,0,,0
O00029,0,,0
O00024,0,,0
O00031,0,,0
O00033,1,Changed mind,12
O00030,1,Product mismatch,12
O00037,0,,0
O00035,0,,0
O00036,0,,0
O00038,0,,0
O00039,0,,0
O00034,0,,0
O00047,0,,0
O00040,0,,0
O00044,0,,0
O00046,0,,0
O00045,0,,0
O00041,1,Changed mind,13
O00048,0,,0
O00042,0,,0
O00043,0,,0
O00049,0,,0
O00050,0,,0
O00053,0,,0
O00055,0,,0
O00051,0,,0
O00052,0,,0
O00054,0,,0
O00056,0,,0
O00061,0,,0
O00064,0,,0
O00058,0,,0
O00057,0,,0
O00065,0,,0
O00066,0,,0
O00059,0,,0
O00063,0,,0
O00062,0,,0
O00060,0,,0
O00070,0,,0
O00069,0,,0
O00067,0,,0
O00068,0,,0
O00071,0,,0
O00080,1,Size issue,6
O00072,0,,0
O00078,0,,0
O00073,0,,0
O00076,0,,0
O00081,0,,0
O00075,1,Changed mind,14
O00077,0,,0
O00074,0,,0
O00079,1,Product mismatch,12
O00082,0,,0
O00092,0,,0
O00083,0,,0
O00084,0,,0
O00089,0,,0
O00086,0,,0
O00091,0,,0
O00088,1,Changed mind,11
O00087,0,,0
O00090,0,,0
O00085,0,,0
O00094,0,,0
O00098,0,,0
O00100,0,,0
O00093,0,,0
O00101,0,,0
O00097,0,,0
O00095,1,Changed mind,6
O00096,0,,0
O00102,0,,0
O00099,0,,0
O00103,0,,0
O00108,0,,0
O00106,0,,0
O00109,0,,0
O00104,0,,0
O00107,0,,0
O00105,0,,0
O00110,0,,0
O00114,1,Size issue,12
O00116,0,,0
O00117,0,,0
O00115,0,,0
O00112,0,,0
O00111,0,,0
O00113,0,,0
O00127,0,,0
O00128,0,,0
O00125,0,,0
O00120,0,,0
O00122,0,,0
O00126,0,,0
O00123,0,,0
O00121,0,,0
O00118,0,,0
O00124,0,,0
O00119,0,,0
O00138,1,Damaged product,13
O00129,0,,0
O00136,0,,0
O00135,0,,0
O00139,0,,0
O00134,0,,0
O00137,0,,0
O00133,1,Product mismatch,9
O00140,0,,0
O00130,0,,0
O00132,0,,0
O00131,0,,0
O00141,0,,0
O00150,0,,0
O00149,0,,0
O00145,0,,0
O00152,0,,0
O00148,0,,0
O00144,0,,0
O00143,0,,0
O00146,0,,0
O00142,0,,0
O00147,0,,0
O00151,0,,0
O00168,0,,0
O00171,1,Changed mind,4
O00157,0,,0
O00172,0,,0
O00166,0,,0
O00165,0,,0
O00156,0,,0
O00153,0,,0
O00161,1,Damaged product,8
O00160,0,,0
O00170,0,,0
O00154,0,,0
O00158,0,,0
O00159,0,,0
O00164,0,,0
O00163,0,,0
O00169,0,,0
O00167,0,,0
O00155,0,,0
O00162,0,,0
O00177,0,,0
O00175,0,,0
O00173,0,,0
O00178,0,,0
O00176,0,,0
O00174,0,,0
O00188,0,,0
O00187,1,Product mismatch,3
O00183,0,,0
O00179,0,,0
