order_id,order_value,risk_score,return_probability,risk_tier,expected_return_exposure,priority,recommended_action,risk_reasons
O11902,45553.6,1.86,0.0186247588110845,LOW,67.87,P4,NORMAL_PROCESSING,Above-average order value
O03436,5943.48,56.02,0.5601538446525821,HIGH,266.34,P3,MONITOR,Elevated predicted return probability
O11064,2897.23,55.96,0.5595798547049189,HIGH,129.7,P3,MONITOR,Elevated predicted return probability
O02084,2448.36,21.24,0.212391131104271,MEDIUM,41.6,P4,NORMAL_PROCESSING,No major risk signal detected
O02916,3561.1,17.54,0.1753557392475234,LOW,49.96,P4,NORMAL_PROCESSING,No major risk signal detected
O00176,11316.05,20.74,0.2073880308868876,MEDIUM,187.75,P4,NORMAL_PROCESSING,No major risk signal detected
O06327,11258.58,4.64,0.0463983549770932,LOW,41.79,P4,NORMAL_PROCESSING,No major risk signal detected
O13652,16090.12,11.44,0.1144279441844084,LOW,147.29,P4,NORMAL_PROCESSING,No major risk signal detected
O00865,1780.74,16.13,0.1612559860959385,LOW,22.97,P4,NORMAL_PROCESSING,No major risk signal detected
O18607,11063.74,51.86,0.5186065089843334,HIGH,459.02,P3,MONITOR,Elevated predicted return probability
O11860,14192.26,18.89,0.1888941968306662,LOW,214.47,P4,NORMAL_PROCESSING,No major risk signal detected
O02233,5760.71,32.92,0.3292421359729491,MEDIUM,151.73,P4,NORMAL_PROCESSING,No major risk signal detected
O07251,80640.9,2.74,0.0273989602410189,LOW,176.76,P4,NORMAL_PROCESSING,High-value order
O01528,68764.6,18.37,0.1837021737565582,LOW,1010.58,P4,NORMAL_PROCESSING,High estimated financial exposure | High-value order
O01698,1681.81,4.67,0.0466838617036174,LOW,6.28,P4,NORMAL_PROCESSING,No major risk signal detected
O04642,4769.91,22.82,0.2282228163834809,MEDIUM,87.09,P4,NORMAL_PROCESSING,No major risk signal detected
O07479,76240.42,6.37,0.0636642003851341,LOW,388.3,P4,NORMAL_PROCESSING,High-value order
O10144,56321.02,13.89,0.1389330646492918,LOW,625.99,P4,NORMAL_PROCESSING,High-value order
O05295,2159.59,13.56,0.1356231806783696,LOW,23.43,P4,NORMAL_PROCESSING,No major risk signal detected
O10545,383.86,28.65,0.2864559232725223,MEDIUM,8.8,P4,NORMAL_PROCESSING,No major risk signal detected
O09173,3644.84,8.61,0.0861231489048039,LOW,25.11,P4,NORMAL_PROCESSING,No major risk signal detected
O04810,80842.13,7.49,0.0748894494968378,LOW,484.34,P4,NORMAL_PROCESSING,High-value order
O08428,5321.9,18.98,0.1898001308823079,LOW,80.81,P4,NORMAL_PROCESSING,No major risk signal detected
O06473,5218.71,60.93,0.6093333223504311,VERY_HIGH,254.39,P2,REVIEW,High predicted return probability
O01088,428.08,14.5,0.1450159076295605,LOW,4.97,P4,NORMAL_PROCESSING,No major risk signal detected
O01515,924.17,18.99,0.1898689361102222,LOW,14.04,P4,NORMAL_PROCESSING,No major risk signal detected
O08535,2391.15,40.08,0.4008081774489837,HIGH,76.67,P3,MONITOR,Elevated predicted return probability
O16729,2654.01,51.03,0.510255224132341,HIGH,108.34,P3,MONITOR,Elevated predicted return probability
O14809,2166.09,51.66,0.5165939780411696,HIGH,89.52,P3,MONITOR,Elevated predicted return probability
O15539,618.16,10.41,0.1040838691416092,LOW,5.15,P4,NORMAL_PROCESSING,No major risk signal detected
O10152,41279.4,46.74,0.4673727589956083,HIGH,1543.43,P2,REVIEW,Elevated predicted return probability | High estimated financial exposure | Above-average order value
O09442,4123.47,23.05,0.2305172249796119,MEDIUM,76.04,P4,NORMAL_PROCESSING,No major risk signal detected
O01378,76441.01,8.77,0.0876760023246164,LOW,536.16,P4,NORMAL_PROCESSING,High-value order
O10625,1976.48,13.77,0.137730868926945,LOW,21.78,P4,NORMAL_PROCESSING,No major risk signal detected
O02773,40515.38,22.37,0.2236688352294413,MEDIUM,724.96,P4,NORMAL_PROCESSING,Above-average order value
O05038,1403.72,38.99,0.3899376135523701,MEDIUM,43.79,P4,NORMAL_PROCESSING,No major risk signal detected
O09556,528.78,19.25,0.19245041596027,LOW,8.14,P4,NORMAL_PROCESSING,No major risk signal detected
O16049,1804.36,33.87,0.3387127817643013,MEDIUM,48.89,P4,NORMAL_PROCESSING,No major risk signal detected
O03843,2651.21,9.41,0.0941053458968483,LOW,19.96,P4,NORMAL_PROCESSING,No major risk signal detected
O10164,6772.3,45.06,0.4506196948951846,HIGH,244.14,P3,MONITOR,Elevated predicted return probability
O15282,363.65,21.33,0.2132987701545189,MEDIUM,6.21,P4,NORMAL_PROCESSING,No major risk signal detected
O14357,19340.93,24.42,0.2442129543327137,MEDIUM,377.86,P4,NORMAL_PROCESSING,No major risk signal detected
O08730,5823.75,15.65,0.1565076197203762,LOW,72.92,P4,NORMAL_PROCESSING,No major risk signal detected
O05761,2982.22,28.82,0.2881795409677861,MEDIUM,68.75,P4,NORMAL_PROCESSING,No major risk signal detected
O03555,3142.32,27.85,0.2784958161833072,MEDIUM,70.01,P4,NORMAL_PROCESSING,No major risk signal detected
O19419,9258.42,20.07,0.2006771778578911,MEDIUM,148.64,P4,NORMAL_PROCESSING,No major risk signal detected
O02597,5414.27,56.21,0.5621113058084032,HIGH,243.47,P3,MONITOR,Elevated predicted return probability
O17620,1778.29,23.81,0.2380999001962923,MEDIUM,33.87,P4,NORMAL_PROCESSING,No major risk signal detected
O03928,2421.34,29.9,0.2990209820357158,MEDIUM,57.92,P4,NORMAL_PROCESSING,No major risk signal detected
O17077,55426.69,4.41,0.0440564797594755,LOW,195.35,P4,NORMAL_PROCESSING,High-value order
O14316,7336.74,33.71,0.337142262957886,MEDIUM,197.88,P4,NORMAL_PROCESSING,No major risk signal detected
O13021,37273.91,4.92,0.0492040941322186,LOW,146.72,P4,NORMAL_PROCESSING,Above-average order value
O12879,3270.87,12.22,0.1222319981909158,LOW,31.98,P4,NORMAL_PROCESSING,No major risk signal detected
O17001,1369.98,21.85,0.2184932878884647,MEDIUM,23.95,P4,NORMAL_PROCESSING,No major risk signal detected
O10927,21267.23,2.75,0.0275128696223724,LOW,46.81,P4,NORMAL_PROCESSING,No major risk signal detected
O08018,6929.14,49.78,0.4978122452077815,HIGH,275.95,P3,MONITOR,Elevated predicted return probability
O19694,31808.28,10.52,0.1052342662611774,LOW,267.79,P4,NORMAL_PROCESSING,Above-average order value
O10749,62364.52,32.42,0.3242097690406678,MEDIUM,1617.53,P4,NORMAL_PROCESSING,High estimated financial exposure | High-value order
O17851,13655.14,30.32,0.3032269883746421,MEDIUM,331.25,P4,NORMAL_PROCESSING,No major risk signal detected
O00218,1471.33,29.1,0.2909754841115978,MEDIUM,34.25,P4,NORMAL_PROCESSING,No major risk signal detected
O05098,5781.19,69.34,0.6934292482870065,VERY_HIGH,320.71,P2,REVIEW,High predicted return probability
O15547,1494.69,42.21,0.4220954564338435,HIGH,50.47,P3,MONITOR,Elevated predicted return probability
O04583,4528.41,38.23,0.3823223629056849,MEDIUM,138.5,P4,NORMAL_PROCESSING,No major risk signal detected
O02870,5492.72,22.79,0.2279467177184409,MEDIUM,100.16,P4,NORMAL_PROCESSING,No major risk signal detected
O11546,11444.52,47.54,0.4753792577353202,HIGH,435.24,P3,MONITOR,Elevated predicted return probability
O11216,4481.26,26.33,0.2633146339015166,MEDIUM,94.4,P4,NORMAL_PROCESSING,No major risk signal detected
O00732,6407.25,37.27,0.3727192723396946,MEDIUM,191.05,P4,NORMAL_PROCESSING,No major risk signal detected
O17299,1322.83,48.57,0.4856724872130051,HIGH,51.4,P3,MONITOR,Elevated predicted return probability
O12678,1705.27,6.64,0.0664124079338605,LOW,9.06,P4,NORMAL_PROCESSING,No major risk signal detected
O12325,10180.64,48.02,0.4801630725045434,HIGH,391.07,P3,MONITOR,Elevated predicted return probability
O02164,5472.02,32.68,0.326785922974051,MEDIUM,143.05,P4,NORMAL_PROCESSING,No major risk signal detected
O15773,20867.39,15.21,0.1520574025265415,LOW,253.84,P4,NORMAL_PROCESSING,No major risk signal detected
O02934,6213.41,24.13,0.2413163962968135,MEDIUM,119.95,P4,NORMAL_PROCESSING,No major risk signal detected
O13633,7480.89,15.63,0.1563182041150242,LOW,93.55,P4,NORMAL_PROCESSING,No major risk signal detected
O03492,3676.06,18.7,0.1870018065167721,LOW,54.99,P4,NORMAL_PROCESSING,No major risk signal detected
O13284,4507.22,41.38,0.4137776958994461,HIGH,149.2,P3,MONITOR,Elevated predicted return probability
O04968,6112.43,41.54,0.4154159592952426,HIGH,203.14,P3,MONITOR,Elevated predicted return probability
O01735,3970.65,35.15,0.3515089844415465,MEDIUM,111.66,P4,NORMAL_PROCESSING,No major risk signal detected
O09702,6658.18,13.71,0.1371164232528317,LOW,73.04,P4,NORMAL_PROCESSING,No major risk signal detected
O08569,36242.23,23.01,0.2300907963720503,MEDIUM,667.12,P4,NORMAL_PROCESSING,Above-average order value
