order_id,order_value,return_probability,recommended_action,baseline_expected_loss,potential_loss_avoided,intervention_cost,net_benefit,intervention_roi,expected_loss_after_intervention
O11902,45553.6,0.0186247588110845,NORMAL_PROCESSING,67.8739850381295,0.0,0.0,0.0,0.0,67.8739850381295
O03436,5943.48,0.5601538446525821,MONITOR,266.34105380925826,26.634105380925828,20.0,6.634105380925828,0.3317052690462914,239.70694842833242
O11064,2897.23,0.5595798547049189,MONITOR,129.6985233957386,12.96985233957386,20.0,-7.03014766042614,-0.351507383021307,116.72867105616473
O02084,2448.36,0.212391131104271,NORMAL_PROCESSING,41.60079598003624,0.0,0.0,0.0,0.0,41.60079598003624
O02916,3561.1,0.1753557392475234,NORMAL_PROCESSING,49.95674584274844,0.0,0.0,0.0,0.0,49.95674584274844
O00176,11316.05,0.2073880308868876,NORMAL_PROCESSING,187.74506615340513,0.0,0.0,0.0,0.0,187.74506615340513
O06327,11258.58,0.0463983549770932,NORMAL_PROCESSING,41.79036731024016,0.0,0.0,0.0,0.0,41.79036731024016
O13652,16090.12,0.1144279441844084,NORMAL_PROCESSING,147.29274826243469,0.0,0.0,0.0,0.0,147.29274826243469
O00865,1780.74,0.1612559860959385,NORMAL_PROCESSING,22.97239877443852,0.0,0.0,0.0,0.0,22.97239877443852
O18607,11063.74,0.5186065089843334,MONITOR,459.0182062168263,45.90182062168263,20.0,25.90182062168263,1.2950910310841315,413.11638559514364
O11860,14192.26,0.1888941968306662,NORMAL_PROCESSING,214.46684431295927,0.0,0.0,0.0,0.0,214.46684431295927
O02233,5760.71,0.3292421359729491,NORMAL_PROCESSING,151.73347720965822,0.0,0.0,0.0,0.0,151.73347720965822
O07251,80640.9,0.0273989602410189,NORMAL_PROCESSING,176.75814503199848,0.0,0.0,0.0,0.0,176.75814503199848
O01528,68764.6,0.1837021737565582,NORMAL_PROCESSING,1010.5765198000179,0.0,0.0,0.0,0.0,1010.5765198000179
O01698,1681.81,0.0466838617036174,NORMAL_PROCESSING,6.281070836140863,0.0,0.0,0.0,0.0,6.281070836140863
O04642,4769.91,0.2282228163834809,NORMAL_PROCESSING,87.08818352765834,0.0,0.0,0.0,0.0,87.08818352765834
O07479,76240.42,0.0636642003851341,NORMAL_PROCESSING,388.3028301061428,0.0,0.0,0.0,0.0,388.3028301061428
O10144,56321.02,0.1389330646492918,NORMAL_PROCESSING,625.9881530219245,0.0,0.0,0.0,0.0,625.9881530219245
O05295,2159.59,0.1356231806783696,NORMAL_PROCESSING,23.43123718089602,0.0,0.0,0.0,0.0,23.43123718089602
O10545,383.86,0.2864559232725223,NORMAL_PROCESSING,8.796717656591232,0.0,0.0,0.0,0.0,8.796717656591232
O09173,3644.84,0.0861231489048039,NORMAL_PROCESSING,25.112407844334836,0.0,0.0,0.0,0.0,25.112407844334836
O04810,80842.13,0.0748894494968378,NORMAL_PROCESSING,484.33780894814373,0.0,0.0,0.0,0.0,484.33780894814373
O08428,5321.9,0.1898001308823079,NORMAL_PROCESSING,80.80778532340435,0.0,0.0,0.0,0.0,80.80778532340435
O06473,5218.71,0.6093333223504311,REVIEW,254.3947122146735,63.59867805366837,75.0,-11.401321946331628,-0.15201762595108836,190.7960341610051
O01088,428.08,0.1450159076295605,NORMAL_PROCESSING,4.96627277904498,0.0,0.0,0.0,0.0,4.96627277904498
O01515,924.17,0.1898689361102222,NORMAL_PROCESSING,14.037693974798724,0.0,0.0,0.0,0.0,14.037693974798724
O08535,2391.15,0.4008081774489837,MONITOR,76.67139788057099,7.667139788057099,20.0,-12.3328602119429,-0.616643010597145,69.0042580925139
O16729,2654.01,0.510255224132341,MONITOR,108.33779739195796,10.833779739195798,20.0,-9.166220260804202,-0.4583110130402101,97.50401765276217
O14809,2166.09,0.5165939780411696,MONITOR,89.51912399161576,8.951912399161577,20.0,-11.048087600838423,-0.5524043800419212,80.56721159245419
O15539,618.16,0.1040838691416092,NORMAL_PROCESSING,5.147238763886171,0.0,0.0,0.0,0.0,5.147238763886171
O10152,41279.4,0.4673727589956083,REVIEW,1543.4293654146652,385.8573413536663,75.0,310.8573413536663,4.1447645513822176,1157.572024060999
O09442,4123.47,0.2305172249796119,NORMAL_PROCESSING,76.04246893493443,0.0,0.0,0.0,0.0,76.04246893493443
O01378,76441.01,0.0876760023246164,NORMAL_PROCESSING,536.1633736364821,0.0,0.0,0.0,0.0,536.1633736364821
O10625,1976.48,0.137730868926945,NORMAL_PROCESSING,21.77778462533826,0.0,0.0,0.0,0.0,21.77778462533826
O02773,40515.38,0.2236688352294413,NORMAL_PROCESSING,724.9622282782561,0.0,0.0,0.0,0.0,724.9622282782561
O05038,1403.72,0.3899376135523701,NORMAL_PROCESSING,43.78905815165864,0.0,0.0,0.0,0.0,43.78905815165864
O09556,528.78,0.19245041596027,NORMAL_PROCESSING,8.141114476117725,0.0,0.0,0.0,0.0,8.141114476117725
O16049,1804.36,0.3387127817643013,NORMAL_PROCESSING,48.89278359233877,0.0,0.0,0.0,0.0,48.89278359233877
O03843,2651.21,0.0941053458968483,NORMAL_PROCESSING,19.959442727614654,0.0,0.0,0.0,0.0,19.959442727614654
O10164,6772.3,0.4506196948951846,MONITOR,244.1385407790927,24.41385407790927,20.0,4.413854077909271,0.22069270389546353,219.72468670118343
O15282,363.65,0.2132987701545189,NORMAL_PROCESSING,6.205287821335263,0.0,0.0,0.0,0.0,6.205287821335263
O14357,19340.93,0.2442129543327137,NORMAL_PROCESSING,377.864452387377,0.0,0.0,0.0,0.0,377.864452387377
O08730,5823.75,0.1565076197203762,NORMAL_PROCESSING,72.91690002772327,0.0,0.0,0.0,0.0,72.91690002772327
O05761,2982.22,0.2881795409677861,NORMAL_PROCESSING,68.75318325319607,0.0,0.0,0.0,0.0,68.75318325319607
O03555,3142.32,0.2784958161833072,NORMAL_PROCESSING,70.0098378487304,0.0,0.0,0.0,0.0,70.0098378487304
O19419,9258.42,0.2006771778578911,NORMAL_PROCESSING,148.6362877618445,0.0,0.0,0.0,0.0,148.6362877618445
O02597,5414.27,0.5621113058084032,MONITOR,243.47379037594106,24.34737903759411,20.0,4.347379037594109,0.21736895187970545,219.12641133834694
O17620,1778.29,0.2380999001962923,NORMAL_PROCESSING,33.87285372160517,0.0,0.0,0.0,0.0,33.87285372160517
O03928,2421.34,0.2990209820357158,NORMAL_PROCESSING,57.92251717138881,0.0,0.0,0.0,0.0,57.92251717138881
O17077,55426.69,0.0440564797594755,NORMAL_PROCESSING,195.35238768957785,0.0,0.0,0.0,0.0,195.35238768957785
O14316,7336.74,0.337142262957886,NORMAL_PROCESSING,197.88201010669124,0.0,0.0,0.0,0.0,197.88201010669124
O13021,37273.91,0.0492040941322186,NORMAL_PROCESSING,146.72231810526756,0.0,0.0,0.0,0.0,146.72231810526756
O12879,3270.87,0.1222319981909158,NORMAL_PROCESSING,31.984398073817662,0.0,0.0,0.0,0.0,31.984398073817662
O17001,1369.98,0.2184932878884647,NORMAL_PROCESSING,23.946514763315108,0.0,0.0,0.0,0.0,23.946514763315108
O10927,21267.23,0.0275128696223724,NORMAL_PROCESSING,46.80980209752055,0.0,0.0,0.0,0.0,46.80980209752055
O08018,6929.14,0.4978122452077815,MONITOR,275.9528592607238,27.595285926072382,20.0,7.595285926072382,0.3797642963036191,248.35757333465142
O19694,31808.28,0.1052342662611774,NORMAL_PROCESSING,267.78568054640675,0.0,0.0,0.0,0.0,267.78568054640675
O10749,62364.52,0.3242097690406678,NORMAL_PROCESSING,1617.5349300425687,0.0,0.0,0.0,0.0,1617.5349300425687
O17851,13655.14,0.3032269883746421,NORMAL_PROCESSING,331.24855824272885,0.0,0.0,0.0,0.0,331.24855824272885
O00218,1471.33,0.2909754841115978,NORMAL_PROCESSING,34.249676723033375,0.0,0.0,0.0,0.0,34.249676723033375
O05098,5781.19,0.6934292482870065,REVIEW,320.7076988723487,80.17692471808718,75.0,5.176924718087179,0.06902566290782905,240.53077415426154
O15547,1494.69,0.4220954564338435,MONITOR,50.47214862216813,5.047214862216813,20.0,-14.952785137783188,-0.7476392568891594,45.424933759951315
O04583,4528.41,0.3823223629056849,NORMAL_PROCESSING,138.50499291245862,0.0,0.0,0.0,0.0,138.50499291245862
O02870,5492.72,0.2279467177184409,NORMAL_PROCESSING,100.16379962771478,0.0,0.0,0.0,0.0,100.16379962771478
O11546,11444.52,0.4753792577353202,MONITOR,435.2389938189621,43.523899381896214,20.0,23.523899381896214,1.1761949690948108,391.7150944370659
O11216,4481.26,0.2633146339015166,NORMAL_PROCESSING,94.39850690540082,0.0,0.0,0.0,0.0,94.39850690540082
O00732,6407.25,0.3727192723396946,NORMAL_PROCESSING,191.04844461588067,0.0,0.0,0.0,0.0,191.04844461588067
O17299,1322.83,0.4856724872130051,MONITOR,51.39697090079836,5.139697090079836,20.0,-14.860302909920165,-0.7430151454960082,46.25727381071852
O12678,1705.27,0.0664124079338605,NORMAL_PROCESSING,9.060086950189943,0.0,0.0,0.0,0.0,9.060086950189943
O12325,10180.64,0.4801630725045434,MONITOR,391.06939059701233,39.10693905970123,20.0,19.106939059701233,0.9553469529850617,351.9624515373111
O02164,5472.02,0.326785922974051,NORMAL_PROCESSING,143.05432849859733,0.0,0.0,0.0,0.0,143.05432849859733
O15773,20867.39,0.1520574025265415,NORMAL_PROCESSING,253.84328967266617,0.0,0.0,0.0,0.0,253.84328967266617
O02934,6213.41,0.2413163962968135,NORMAL_PROCESSING,119.95181679316673,0.0,0.0,0.0,0.0,119.95181679316673
O13633,7480.89,0.1563182041150242,NORMAL_PROCESSING,93.55194319856348,0.0,0.0,0.0,0.0,93.55194319856348
O03492,3676.06,0.1870018065167721,NORMAL_PROCESSING,54.99438886912361,0.0,0.0,0.0,0.0,54.99438886912361
O13284,4507.22,0.4137776958994461,MONITOR,149.19896852095212,14.919896852095214,20.0,-5.0801031479047865,-0.2540051573952393,134.27907166885691
O04968,6112.43,0.4154159592952426,MONITOR,203.1360777660016,20.31360777660016,20.0,0.31360777660016126,0.015680388830008062,182.82246998940144
O01735,3970.65,0.3515089844415465,NORMAL_PROCESSING,111.65753192582613,0.0,0.0,0.0,0.0,111.65753192582613
O09702,6658.18,0.1371164232528317,NORMAL_PROCESSING,73.03566615788311,0.0,0.0,0.0,0.0,73.03566615788311
O08569,36242.23,0.2300907963720503,NORMAL_PROCESSING,667.120285039921,0.0,0.0,0.0,0.0,667.120285039921
O05671,10789.8,0.2885811656565696,NORMAL_PROCESSING,249.09864489610038,0.0,0.0,0.0,0.0,249.09864489610038
O09744,497.68,0.2235314738086332,NORMAL_PROCESSING,8.899771510806445,0.0,0.0,0.0,0.0,8.899771510806445
O04021,9068.14,0.3464280982956074,NORMAL_PROCESSING,251.31667962226632,0.0,0.0,0.0,0.0,251.31667962226632
O19638,56609.73,0.074191359423,NORMAL_PROCESSING,335.9962260215189,0.0,0.0,0.0,0.0,335.9962260215189
O09120,6142.31,0.4689161023960103,MONITOR,230.41824519264304,23.041824519264306,20.0,3.0418245192643063,0.1520912259632153,207.37642067337873
O16727,3322.0,0.227634023210031,NORMAL_PROCESSING,60.496018008297845,0.0,0.0,0.0,0.0,60.496018008297845
O13696,1719.28,0.1912895430428491,NORMAL_PROCESSING,26.310422845016767,0.0,0.0,0.0,0.0,26.310422845016767
O04440,15177.11,0.1588088999727338,NORMAL_PROCESSING,192.82081150921425,0.0,0.0,0.0,0.0,192.82081150921425
O10898,21770.37,0.1052687149494771,NORMAL_PROCESSING,183.33910990997182,0.0,0.0,0.0,0.0,183.33910990997182
O19451,57861.22,0.1834060221054253,NORMAL_PROCESSING,848.9676955493502,0.0,0.0,0.0,0.0,848.9676955493502
O14397,4619.03,0.5843020974367776,MONITOR,215.91271336987188,21.59127133698719,20.0,1.591271336987191,0.07956356684935954,194.3214420328847
O09608,986.38,0.0730871323613174,NORMAL_PROCESSING,5.767334849484501,0.0,0.0,0.0,0.0,5.767334849484501
O11180,19217.15,0.1052926944454614,NORMAL_PROCESSING,161.8740402450079,0.0,0.0,0.0,0.0,161.8740402450079
O01944,8009.72,0.426793529722098,MONITOR,273.4797336708546,27.347973367085462,20.0,7.347973367085462,0.3673986683542731,246.13176030376914
O14603,4923.44,0.0618681213061491,NORMAL_PROCESSING,24.368318653083733,0.0,0.0,0.0,0.0,24.368318653083733
O13833,3252.24,0.0722541243603263,NORMAL_PROCESSING,18.799020272770207,0.0,0.0,0.0,0.0,18.799020272770207
O04897,23684.68,0.0221963619699259,NORMAL_PROCESSING,42.05709843374917,0.0,0.0,0.0,0.0,42.05709843374917
O09693,6218.02,0.610649277748627,REVIEW,303.76235376212145,75.94058844053036,75.0,0.9405884405303624,0.012541179207071498,227.8217653215911
O14490,7487.04,0.4306896788499778,MONITOR,257.96726825095504,25.796726825095504,20.0,5.796726825095504,0.2898363412547752,232.17054142585954
O07248,4585.25,0.5150054468589762,MONITOR,188.91429801680965,18.891429801680967,20.0,-1.1085701983190326,-0.05542850991595163,170.02286821512868
O15501,77222.34,0.0235842973839297,NORMAL_PROCESSING,145.6987704994344,0.0,0.0,0.0,0.0,145.6987704994344
O02978,48184.46,0.2850130511428954,NORMAL_PROCESSING,1098.6559969818238,0.0,0.0,0.0,0.0,1098.6559969818238
O11850,9410.04,0.6965530662443032,REVIEW,524.3673772385234,131.09184430963086,75.0,56.09184430963086,0.7478912574617448,393.2755329288926
O01288,4548.16,0.2319451865070881,NORMAL_PROCESSING,84.39390555712622,0.0,0.0,0.0,0.0,84.39390555712622
O09392,5781.0,0.238858143199021,NORMAL_PROCESSING,110.46711406668322,0.0,0.0,0.0,0.0,110.46711406668322
O02299,11083.08,0.1830109191097583,NORMAL_PROCESSING,162.2659725893584,0.0,0.0,0.0,0.0,162.2659725893584
O07264,3175.72,0.4798265793258566,MONITOR,121.90358915973673,12.190358915973674,20.0,-7.809641084026326,-0.3904820542013163,109.71323024376305
O03095,6856.35,0.5811654102649849,MONITOR,318.77387685362635,31.877387685362635,20.0,11.877387685362635,0.5938693842681317,286.8964891682637
O00962,1488.19,0.236012175001106,NORMAL_PROCESSING,28.09847669719168,0.0,0.0,0.0,0.0,28.09847669719168
O15557,301.11,0.413653332391964,MONITOR,9.964412393323542,0.9964412393323543,20.0,-19.003558760667644,-0.9501779380333822,8.967971153991188
O12382,7279.69,0.3778770986808497,NORMAL_PROCESSING,220.06625091967956,0.0,0.0,0.0,0.0,220.06625091967956
O06616,3896.5,0.3753753752516027,NORMAL_PROCESSING,117.0120119734296,0.0,0.0,0.0,0.0,117.0120119734296
O14826,44299.88,0.2282099990646141,NORMAL_PROCESSING,808.7740458690013,0.0,0.0,0.0,0.0,808.7740458690013
O12597,12943.35,0.1177915928585713,NORMAL_PROCESSING,121.9694250740791,0.0,0.0,0.0,0.0,121.9694250740791
O19060,23684.68,0.0179578752577834,NORMAL_PROCESSING,34.02612231684139,0.0,0.0,0.0,0.0,34.02612231684139
O03296,10331.54,0.5558811234861548,MONITOR,459.4486450033719,45.94486450033719,20.0,25.94486450033719,1.2972432250168595,413.5037805030347
O02811,67525.64,0.1080827712235376,NORMAL_PROCESSING,583.8686639874368,0.0,0.0,0.0,0.0,583.8686639874368
