threshold,orders_selected,selection_rate,average_return_probability,baseline_expected_loss,potential_loss_avoided,intervention_cost,net_benefit,roi,expected_returns_captured,expected_return_capture_rate
0.1,3277,0.8264817150063052,0.3347119537641776,751306.9994687894,300522.7997875158,491550.0,-191027.20021248423,-0.38862211415417397,1096.8510724852101,0.9636372160202983
0.11,3178,0.8015132408575032,0.3418722110230121,733197.7637725264,293279.10550901055,476700.0,-183420.89449098945,-0.38477217220681653,1086.4698866311323,0.9545168374325774
0.12,3083,0.7775535939470366,0.34885452214890933,718462.575538574,287385.0302154296,462450.0,-175064.9697845704,-0.37855977896977056,1075.5184917850875,0.9448955024075126
0.13,3001,0.7568726355611601,0.35496230079957825,703418.164332472,281367.26573298883,450150.0,-168782.73426701117,-0.3749477602288374,1065.2418646995343,0.9358669838025543
0.14,2916,0.7354350567465322,0.3613623439478334,686673.6935460344,274669.4774184138,437400.0,-162730.5225815862,-0.37204051801917287,1053.7325949518822,0.9257555284406838
0.15,2841,0.7165195460277427,0.3670620548484249,675363.2404606817,270145.2961842727,426150.0,-156004.70381572732,-0.3660793237492135,1042.8232978243752,0.9161711783165871
0.16,2742,0.6915510718789407,0.3747030493533817,655492.3304228276,262196.93216913106,411300.0,-149103.06783086894,-0.3625165762967881,1027.4357613269726,0.9026524762760532
0.17,2660,0.6708701134930644,0.38115047863177165,638140.5661046741,255256.22644186966,399000.0,-143743.77355813034,-0.36026008410558985,1013.8602731605125,0.8907257471593977
0.18,2564,0.6466582597730138,0.38886912372768845,617765.2734434941,247106.10937739766,384600.0,-137493.89062260234,-0.3574984155553883,997.0604332377932,0.8759662676103322
0.19,2493,0.6287515762925598,0.3946663346179929,600635.7248081405,240254.28992325623,373950.0,-133695.71007674377,-0.35752295781987903,983.9031722026563,0.8644069714466112
0.2,2414,0.6088272383354351,0.40119252517483117,587209.066538264,234883.62661530563,362100.0,-127216.37338469437,-0.3513293934954277,968.4787557720424,0.8508558685842533
0.21,2354,0.5936948297604036,0.40619738313526715,574953.8730331478,229981.54921325913,353100.0,-123118.45078674087,-0.3486787051451172,956.1886399004189,0.8400584017811584
0.22,2287,0.576796973518285,0.41180047966051664,562269.8039403681,224907.92157614726,343050.0,-118142.07842385274,-0.3443873441884645,941.7876969836016,0.8274064703671823
0.23,2217,0.5591424968474149,0.41769269903933104,543587.3677026738,217434.94708106952,332550.0,-115115.05291893048,-0.3461586315409126,926.024713770197,0.8135579200571358
0.24,2137,0.5389659520807062,0.4245368100499794,524476.4370149984,209790.57480599938,320550.0,-110759.42519400062,-0.34552932520355834,907.235163076806,0.7970503824573166
0.25,2074,0.5230769230769231,0.4300013416968726,513337.8349511146,205335.13398044585,311100.0,-105764.86601955415,-0.3399706397285572,891.8227826793137,0.7835098538376616
0.26,2008,0.5064312736443884,0.43576053937279124,501643.2965316721,200657.31861266887,301200.0,-100542.68138733113,-0.33380704311862924,875.0071630605648,0.7687365110552612
0.27,1932,0.48726355611601513,0.4424981329517589,477686.54682126705,191074.61872850684,289800.0,-98725.38127149316,-0.34066729217216407,854.9063928627982,0.7510770031064272
0.28,1855,0.467843631778058,0.44945270147808725,461016.17047770275,184406.4681910811,278250.0,-93843.5318089189,-0.33726336678856744,833.7347612418519,0.7324766911173162
0.29,1792,0.4519546027742749,0.455253748378058,445850.1858685418,178340.07434741675,268800.0,-90459.92565258325,-0.336532461505146,815.8147170934799,0.7167330574670597
0.3,1733,0.4370744010088272,0.460710272075578,429643.98449832655,171857.59379933064,259950.0,-88092.40620066936,-0.338882116563452,798.4109015069768,0.701442955810953
0.31,1649,0.4158890290037831,0.46865057223931983,407834.0972921988,163133.63891687954,247350.0,-84216.36108312046,-0.34047447375427714,772.8047936226384,0.6789467399310055
0.32,1577,0.3977301387137453,0.47565345894691197,391760.7354397223,156704.29417588894,236550.0,-79845.70582411106,-0.3375426160393619,750.1055047592802,0.6590043064734113
0.33,1517,0.38259773013871373,0.4815940637744822,378650.4177891306,151460.16711565224,227550.0,-76089.83288434776,-0.33438731217028245,730.5781947458895,0.6418486112931773
0.34,1444,0.36418663303909204,0.48899999692394985,364263.647861738,145705.4591446952,216600.0,-70894.5408553048,-0.32730628280380797,706.1159955581836,0.6203573750494412
0.35,1389,0.3503152585119798,0.49468494799906787,353982.10192910454,141592.84077164182,208350.0,-66757.15922835818,-0.3204087315975915,687.1173927707052,0.6036661749789339
0.36,1337,0.33720050441361915,0.5001391286936234,344414.5767106379,137765.83068425517,200550.0,-62784.16931574483,-0.31305993176636665,668.6860150633745,0.5874733098335609
0.37,1282,0.3233291298865069,0.5059389978152157,326990.76963034784,130796.30785213914,192300.0,-61503.69214786086,-0.3198319924485744,648.6137951991066,0.5698388847465478
0.38,1221,0.30794451450189153,0.5124717817655603,315036.48856942425,126014.5954277697,183150.0,-57135.4045722303,-0.31195962092399837,625.7280455357491,0.5497326363730406
0.39,1153,0.2907944514501892,0.5200080533074614,300790.9745318324,120316.38981273296,172950.0,-52633.61018726704,-0.30432847752105835,599.569285463503,0.5267508885652479
0.4,1111,0.28020176544766706,0.524741578443079,287983.54193089006,115193.41677235602,166650.0,-51456.583227643976,-0.3087703764035042,582.9878936502607,0.5121833263451088
0.41,1055,0.266078184110971,0.5311068089512899,275333.4884166642,110133.39536666567,158250.0,-48116.604633334326,-0.3040543736703591,560.3176834436109,0.4922664399070682
0.42,992,0.2501891551071879,0.5384711805477109,262079.2180554233,104831.68722216932,148800.0,-43968.31277783068,-0.2954859729692922,534.1634111033293,0.4692886347908996
0.43,923,0.23278688524590163,0.5469285263828244,246590.079866238,98636.0319464952,138450.0,-39813.968053504796,-0.2875692889382795,504.81502985134694,0.4435046490577372
0.44,865,0.21815889029003782,0.5544378015831004,230791.41816858068,92316.56726743229,129750.0,-37433.432732567715,-0.2885042985168995,479.58869836938186,0.4213420852881568
0.45,819,0.20655737704918034,0.5605669248262009,220133.03838970614,88053.21535588246,122850.0,-34796.784644117535,-0.28324611024922697,459.1043114326585,0.4033455513057799
0.46,777,0.19596469104665826,0.566262171241754,209516.17929479148,83806.4717179166,116550.0,-32743.528282083396,-0.28093975360002915,439.9857070548429,0.3865489239796211
0.47,724,0.18259773013871375,0.5736056251188439,198917.39189925347,79566.9567597014,108600.0,-29033.043240298604,-0.26733925635634076,415.29047258604305,0.3648529548645399
0.48,678,0.17099621689785624,0.5802743533840047,189348.05933540844,75739.22373416337,101700.0,-25960.776265836626,-0.2552682032039,393.42601159435515,0.3456439584489407
0.49,638,0.16090794451450188,0.5862589871308783,180493.09221556748,72197.236886227,95700.0,-23502.763113773006,-0.2455879113246918,374.03323378950034,0.32860645638183805
0.5,597,0.15056746532156368,0.5924959742027923,170546.78135863796,68218.71254345519,89550.0,-21331.287456544815,-0.23820533173137703,353.720096599067,0.3107603736620789
0.51,563,0.1419924337957125,0.597764446686759,160701.63794835645,64280.65517934258,84450.0,-20169.344820657418,-0.2388317918372696,336.5413834846453,0.2956680355173159
0.52,513,0.12938209331651954,0.6058906242749216,148111.57106490625,59244.6284259625,76950.0,-17705.371574037497,-0.23008929920776475,310.8218902530348,0.273072205074258
