strategy,capacity,orders_selected,selection_rate,average_order_value,average_return_probability,baseline_expected_exposure,potential_loss_avoided,intervention_cost,net_benefit,roi,expected_return_capture_rate
RETURN_PROBABILITY,0.05,198,0.049936948297604034,5964.777323232324,0.6736962080022351,796775.7336273944,318710.2934509578,29700.0,289010.2934509578,9.730986311480061,0.11719125176825586
EXPECTED_EXPOSURE,0.05,198,0.049936948297604034,55254.53898989898,0.2820961463456429,2644622.5481080352,1057849.019243214,29700.0,1028149.019243214,34.61781209573111,0.049071376855868105
RETURN_PROBABILITY,0.1,396,0.09987389659520807,5942.936287878787,0.6270527459552169,1477763.028654905,591105.2114619621,59400.0,531705.2114619621,8.951266186228318,0.21815499434418728
EXPECTED_EXPOSURE,0.1,396,0.09987389659520807,43430.23482323232,0.3109528938941305,3982852.0878023,1593140.83512092,59400.0,1533740.83512092,25.820552779813468,0.10818217007477618
RETURN_PROBABILITY,0.15,594,0.1498108448928121,6037.39888888889,0.5929620858761717,2124855.209379766,849942.0837519065,89100.0,760842.0837519065,8.539192859168423,0.3094420078495412
EXPECTED_EXPOSURE,0.15,594,0.1498108448928121,36343.157441077434,0.3368965361608889,4998748.53258742,1999499.413034968,89100.0,1910399.413034968,21.441070853366647,0.17581215236238817
RETURN_PROBABILITY,0.2,793,0.2,5954.7906557377055,0.5640923647694288,2667811.390545519,1067124.5562182076,118950.0,948174.5562182076,7.971202658412842,0.3929970666148339
EXPECTED_EXPOSURE,0.2,793,0.2,32165.557604035304,0.34823804104874445,5830575.485037589,2332230.194015036,118950.0,2213280.194015036,18.606811214922537,0.24261368733787492
RETURN_PROBABILITY,0.25,991,0.24993694829760404,6164.986781029263,0.5385901868953962,3273695.8449573796,1309478.337982952,148650.0,1160828.337982952,7.809137826995976,0.4689191734807602
EXPECTED_EXPOSURE,0.25,991,0.24993694829760404,29502.973491422803,0.35017642508984503,6542839.410477455,2617135.764190982,148650.0,2468485.764190982,16.606025995230286,0.30487826147019814
RETURN_PROBABILITY,0.3,1189,0.2998738965952081,6365.540874684611,0.5159758367743563,3859859.7498480314,1543943.8999392127,178350.0,1365593.8999392127,7.656820296827657,0.5389855457882503
EXPECTED_EXPOSURE,0.3,1189,0.2998738965952081,26843.875054667787,0.356883090170123,7159282.761377542,2863713.1045510173,178350.0,2685363.1045510173,15.056703698071304,0.3727981301226333
