order_id,return_probability,risk_score,top_risk_drivers,risk_reducing_factors
O11902,0.018625,1.86,Recent average order value increased predicted risk | Historical average order value increased predicted risk | Previous Avg Discount increased predicted risk | Days since previous order increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent purchase frequency reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk
O03436,0.560154,56.02,Historical product return rate increased predicted risk | Discount percentage increased predicted risk | Size Variant increased predicted risk | Order value increased predicted risk | Product price increased predicted risk,Account age reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk | Previous Avg Discount reduced predicted risk | Returns Last 5 reduced predicted risk
O11064,0.55958,55.96,Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Days since previous order increased predicted risk | Order value increased predicted risk | Product price increased predicted risk,Recent average order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Recent 5-order return rate reduced predicted risk | Size Variant reduced predicted risk
O02084,0.212391,21.24,Previous average order value increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | Historical average order value increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Days since previous order reduced predicted risk | Customer historical return rate reduced predicted risk | Recent 5-order return rate reduced predicted risk
O02916,0.175356,17.54,5-order value change increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Order value reduced predicted risk | Previous average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Product price reduced predicted risk
O00176,0.207388,20.74,Discount percentage increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Discount behaviour change increased predicted risk | City tier increased predicted risk,Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Historical average order value reduced predicted risk
O06327,0.046398,4.64,Previous average order value increased predicted risk | 5-order value change increased predicted risk | Recent average order value increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Days since previous order reduced predicted risk | Historical average order value reduced predicted risk
O13652,0.114428,11.44,Order value vs customer average increased predicted risk | Previous order count increased predicted risk | Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Recent vs previous return behaviour reduced predicted risk
O00865,0.161256,16.13,Order value increased predicted risk | Days since previous order increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk,Product price reduced predicted risk | 5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous order count reduced predicted risk
O18607,0.518607,51.86,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk,Recent average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | Discount percentage reduced predicted risk | Orders Last 90 Days reduced predicted risk | Orders Last 30 Days reduced predicted risk
O11860,0.188894,18.89,Order value vs customer average increased predicted risk | Recent average order value increased predicted risk | Product price increased predicted risk | Historical average order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | 5-order return-rate change reduced predicted risk | Recent average order value reduced predicted risk | Account age reduced predicted risk | Previous order count reduced predicted risk
O02233,0.329242,32.92,Historical product return rate increased predicted risk | Previous order count increased predicted risk | 5-order value change increased predicted risk | Previous average order value increased predicted risk | Product price increased predicted risk,5-order return-rate change reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Order value vs customer average reduced predicted risk | Days since previous order reduced predicted risk
O07251,0.027399,2.74,Product price increased predicted risk | Recent order-value change increased predicted risk | Account age increased predicted risk | Days since previous order increased predicted risk | Previous order count increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Order value reduced predicted risk | Discount behaviour change reduced predicted risk | Previous Avg Discount reduced predicted risk
O01528,0.183702,18.37,Recent order-value change increased predicted risk | Product price increased predicted risk | Account age increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Order value reduced predicted risk | 5-order value change reduced predicted risk | Discount percentage reduced predicted risk
O01698,0.046684,4.67,Days since previous order increased predicted risk | Recent purchase frequency increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Order value increased predicted risk,Previous average order value reduced predicted risk | Product price reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Order value vs customer average reduced predicted risk
O04642,0.228223,22.82,Order value vs customer average increased predicted risk | Product price increased predicted risk | Historical average order value increased predicted risk | Days since previous order increased predicted risk | Recent average order value increased predicted risk,Historical product return rate reduced predicted risk | Discount percentage reduced predicted risk | 3-order return-rate change reduced predicted risk | Orders Last 90 Days reduced predicted risk | 5-order value change reduced predicted risk
O07479,0.063664,6.37,Order value vs customer average increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk | Orders Last 90 Days increased predicted risk | Previous average order value increased predicted risk,Days since previous order reduced predicted risk | Order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Discount behaviour change reduced predicted risk
O10144,0.138933,13.89,Days since previous order increased predicted risk | Previous order count increased predicted risk | 5-order return-rate change increased predicted risk | Account age increased predicted risk | Recent purchase frequency increased predicted risk,Historical product return rate reduced predicted risk | Order value vs customer average reduced predicted risk | Recent order-value change reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk
O05295,0.135623,13.56,Account age increased predicted risk | Order value vs customer average increased predicted risk | Order value increased predicted risk | 5-order return-rate ratio increased predicted risk | Recent average order value increased predicted risk,Recent order-value change reduced predicted risk | Product price reduced predicted risk | Previous average order value reduced predicted risk | Historical product return rate reduced predicted risk | 5-order value change reduced predicted risk
O10545,0.286456,28.65,Days since previous order increased predicted risk | Order value increased predicted risk | Recent average order value increased predicted risk | Previous average order value increased predicted risk | Account age increased predicted risk,Product price reduced predicted risk | Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | Discount percentage reduced predicted risk | Recent vs previous return behaviour reduced predicted risk
O09173,0.086123,8.61,Days since previous order increased predicted risk | Discount percentage increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk,Recent order-value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Previous Avg Discount reduced predicted risk
O04810,0.074889,7.49,5-order return-rate change increased predicted risk | Previous average order value increased predicted risk | 5-order value change increased predicted risk | Order value vs customer average increased predicted risk | Recent vs previous return behaviour increased predicted risk,Historical product return rate reduced predicted risk | Order value reduced predicted risk | Historical average order value reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk
O08428,0.1898,18.98,Historical average order value increased predicted risk | Product price increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Account age increased predicted risk,5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Previous order count reduced predicted risk | Orders Considered Last 10 reduced predicted risk | Recent average order value reduced predicted risk
