order_id,order_value,return_probability,risk_tier
O11902,45553.6,0.018624758811084587,LOW
O03436,5943.48,0.5601538446525821,HIGH
O11064,2897.23,0.5595798547049189,HIGH
O02084,2448.36,0.21239113110427105,MEDIUM
O02916,3561.1,0.17535573924752346,LOW
O00176,11316.05,0.20738803088688768,MEDIUM
O06327,11258.58,0.046398354977093256,LOW
O13652,16090.12,0.11442794418440846,LOW
O00865,1780.74,0.16125598609593855,LOW
O18607,11063.74,0.5186065089843334,HIGH
O11860,14192.26,0.18889419683066622,LOW
O02233,5760.71,0.3292421359729491,MEDIUM
O07251,80640.9,0.027398960241018906,LOW
O01528,68764.6,0.18370217375655823,LOW
O01698,1681.81,0.046683861703617484,LOW
O04642,4769.91,0.2282228163834809,MEDIUM
O07479,76240.42,0.06366420038513415,LOW
O10144,56321.02,0.1389330646492918,LOW
O05295,2159.59,0.13562318067836965,LOW
O10545,383.86,0.2864559232725223,MEDIUM
O09173,3644.84,0.08612314890480399,LOW
O04810,80842.13,0.0748894494968378,LOW
O08428,5321.9,0.1898001308823079,LOW
O06473,5218.71,0.6093333223504311,VERY_HIGH
O01088,428.08,0.14501590762956057,LOW
O01515,924.17,0.18986893611022224,LOW
O08535,2391.15,0.4008081774489837,HIGH
O16729,2654.01,0.510255224132341,HIGH
O14809,2166.09,0.5165939780411696,HIGH
O15539,618.16,0.10408386914160925,LOW
O10152,41279.4,0.4673727589956083,HIGH
O09442,4123.47,0.23051722497961194,MEDIUM
O01378,76441.01,0.08767600232461646,LOW
O10625,1976.48,0.13773086892694505,LOW
O02773,40515.38,0.22366883522944134,MEDIUM
O05038,1403.72,0.38993761355237017,MEDIUM
O09556,528.78,0.19245041596027007,LOW
O16049,1804.36,0.33871278176430136,MEDIUM
O03843,2651.21,0.09410534589684838,LOW
O10164,6772.3,0.4506196948951846,HIGH
O15282,363.65,0.21329877015451892,MEDIUM
O14357,19340.93,0.24421295433271378,MEDIUM
O08730,5823.75,0.15650761972037622,LOW
O05761,2982.22,0.28817954096778614,MEDIUM
O03555,3142.32,0.27849581618330727,MEDIUM
O19419,9258.42,0.20067717785789113,MEDIUM
O02597,5414.27,0.5621113058084032,HIGH
O17620,1778.29,0.2380999001962923,MEDIUM
O03928,2421.34,0.2990209820357158,MEDIUM
O17077,55426.69,0.04405647975947551,LOW
O14316,7336.74,0.337142262957886,MEDIUM
O13021,37273.91,0.04920409413221861,LOW
O12879,3270.87,0.12223199819091589,LOW
O17001,1369.98,0.21849328788846478,MEDIUM
O10927,21267.23,0.027512869622372402,LOW
O08018,6929.14,0.4978122452077815,HIGH
O19694,31808.28,0.10523426626117746,LOW
O10749,62364.52,0.3242097690406678,MEDIUM
O17851,13655.14,0.3032269883746421,MEDIUM
O00218,1471.33,0.2909754841115978,MEDIUM
O05098,5781.19,0.6934292482870065,VERY_HIGH
O15547,1494.69,0.4220954564338435,HIGH
O04583,4528.41,0.38232236290568494,MEDIUM
O02870,5492.72,0.2279467177184409,MEDIUM
