threshold,orders_selected,selection_rate,precision,recall
0.1,3277,0.8264817150063052,0.12450411962160512,0.9107142857142857
0.15,2841,0.7165195460277427,0.13058782118972193,0.828125
0.2,2414,0.6088272383354351,0.1379453189726595,0.7433035714285714
0.25,2074,0.5230769230769231,0.1407907425265188,0.6517857142857143
0.3,1733,0.4370744010088272,0.14829774956722447,0.5736607142857143
0.35,1389,0.3503152585119798,0.14614830813534918,0.453125
0.4,1111,0.28020176544766706,0.1494149414941494,0.3705357142857143
0.45,819,0.20655737704918034,0.1575091575091575,0.28794642857142855
0.5,597,0.15056746532156368,0.17252931323283083,0.22991071428571427
0.55,399,0.10063051702395964,0.20050125313283207,0.17857142857142858
0.6,233,0.05876418663303909,0.2446351931330472,0.12723214285714285
0.65,126,0.0317780580075662,0.23015873015873015,0.06473214285714286
0.7,43,0.010844892812105928,0.3023255813953488,0.029017857142857144
0.75,15,0.0037831021437578815,0.3333333333333333,0.011160714285714286
0.8,2,0.0005044136191677175,0.5,0.002232142857142857
