order_id,order_value,return_probability,risk_score,risk_tier,expected_return_exposure,priority,recommended_action,risk_reasons,top_risk_drivers,risk_reducing_factors
O11902,45553.6,0.0186247588110845,1.86,LOW,67.87,P4,NORMAL_PROCESSING,Above-average order value,Recent average order value increased predicted risk | Historical average order value increased predicted risk | Previous Avg Discount increased predicted risk | Days since previous order increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Recent purchase frequency reduced predicted risk | Recent average order value reduced predicted risk | Order value vs customer average reduced predicted risk
O03436,5943.48,0.5601538446525821,56.02,HIGH,266.34,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Discount percentage increased predicted risk | Size Variant increased predicted risk | Order value increased predicted risk | Product price increased predicted risk,Account age reduced predicted risk | Recent average order value reduced predicted risk | Days since previous order reduced predicted risk | Previous Avg Discount reduced predicted risk | Returns Last 5 reduced predicted risk
O11064,2897.23,0.5595798547049189,55.96,HIGH,129.7,P3,MONITOR,Elevated predicted return probability,Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Days since previous order increased predicted risk | Order value increased predicted risk | Product price increased predicted risk,Recent average order value reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Recent 5-order return rate reduced predicted risk | Size Variant reduced predicted risk
O02084,2448.36,0.212391131104271,21.24,MEDIUM,41.6,P4,NORMAL_PROCESSING,No major risk signal detected,Previous average order value increased predicted risk | Recent order-value change increased predicted risk | Discount behaviour change increased predicted risk | Historical average order value increased predicted risk | Account age increased predicted risk,Historical product return rate reduced predicted risk | Recent vs previous return behaviour reduced predicted risk | Days since previous order reduced predicted risk | Customer historical return rate reduced predicted risk | Recent 5-order return rate reduced predicted risk
O02916,3561.1,0.1753557392475234,17.54,LOW,49.96,P4,NORMAL_PROCESSING,No major risk signal detected,5-order value change increased predicted risk | Previous order count increased predicted risk | Recent average order value increased predicted risk | Recent purchase frequency increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Order value reduced predicted risk | Previous average order value reduced predicted risk | Discount behaviour change reduced predicted risk | Product price reduced predicted risk
O00176,11316.05,0.2073880308868876,20.74,MEDIUM,187.75,P4,NORMAL_PROCESSING,No major risk signal detected,Discount percentage increased predicted risk | Recent average order value increased predicted risk | Account age increased predicted risk | Discount behaviour change increased predicted risk | City tier increased predicted risk,Days since previous order reduced predicted risk | Order value vs customer average reduced predicted risk | Historical product return rate reduced predicted risk | Recent average order value reduced predicted risk | Historical average order value reduced predicted risk
O06327,11258.58,0.0463983549770932,4.64,LOW,41.79,P4,NORMAL_PROCESSING,No major risk signal detected,Previous average order value increased predicted risk | 5-order value change increased predicted risk | Recent average order value increased predicted risk | Order value increased predicted risk | Previous Avg Discount increased predicted risk,Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Account age reduced predicted risk | Days since previous order reduced predicted risk | Historical average order value reduced predicted risk
O13652,16090.12,0.1144279441844084,11.44,LOW,147.29,P4,NORMAL_PROCESSING,No major risk signal detected,Order value vs customer average increased predicted risk | Previous order count increased predicted risk | Discount behaviour change increased predicted risk | Discount percentage increased predicted risk | Recent order-value change increased predicted risk,Historical product return rate reduced predicted risk | Account age reduced predicted risk | Order value reduced predicted risk | Recent average order value reduced predicted risk | Recent vs previous return behaviour reduced predicted risk
O00865,1780.74,0.1612559860959385,16.13,LOW,22.97,P4,NORMAL_PROCESSING,No major risk signal detected,Order value increased predicted risk | Days since previous order increased predicted risk | Account age increased predicted risk | Previous Avg Discount increased predicted risk | Historical average order value increased predicted risk,Product price reduced predicted risk | 5-order value change reduced predicted risk | Historical product return rate reduced predicted risk | Recent order-value change reduced predicted risk | Previous order count reduced predicted risk
O18607,11063.74,0.5186065089843334,51.86,HIGH,459.02,P3,MONITOR,Elevated predicted return probability,Historical product return rate increased predicted risk | Size Variant increased predicted risk | Recent average order value increased predicted risk | Order value vs customer average increased predicted risk | Product price increased predicted risk,Recent average order value reduced predicted risk | Previous Avg Discount reduced predicted risk | Discount percentage reduced predicted risk | Orders Last 90 Days reduced predicted risk | Orders Last 30 Days reduced predicted risk
